,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
94,6096551,Pangnirtung,100,CA,1644555020.8532975,97,66.1451,-65.7125,-1.41,-1.41,8.55
95,4726521,San Patricio,89,US,1644555021.1213589,75,28.017,-97.5169,58.82,50.72,6.49
96,5746545,Portland,100,US,1644555021.1793714,89,45.5234,-122.6762,48.52,42.4,8.05
97,1789647,Xichang,11,CN,1644555021.448431,48,27.8964,102.2634,56.86,56.86,3.94
98,5855927,Hilo,75,US,1644555021.8255165,80,19.7297,-155.09,73.13,69.62,0.0
99,3723593,Jérémie,1,HT,1644555022.092577,81,18.65,-74.1167,75.38,75.38,2.04
100,5972291,Havre-St-Pierre,100,CA,1644555022.3616376,100,50.2334,-63.5986,30.79,30.2,4.61
101,3827693,La Macarena,71,CO,1644555022.6286972,94,2.1837,-73.7849,70.72,70.72,2.21
102,1701054,Marawi,100,PH,1644555022.8967576,77,7.9986,124.2928,71.65,71.65,7.11
103,3175096,Laas,33,IT,1644555023.1618176,75,46.6166,10.7002,40.46,16.84,1.68
104,1489822,Tegul'det,26,RU,1644555023.4298775,88,57.3064,88.1667,-1.03,-1.03,2.71
105,4032243,Vaini,40,TO,1644555023.6959379,94,-21.2,-175.2,82.56,82.56,10.36
106,3466704,Castro,9,BR,1644555023.7469492,99,-24.7911,-50.0119,57.38,57.38,4.79
107,608324,Shetpe,17,KZ,1644555024.0150092,75,44.1667,52.1167,31.86,31.86,13.35
108,2264557,Ponta do Sol,100,PT,1644555024.2810693,50,32.6667,-17.1,66.7,63.12,4.38
109,6078372,Moose Factory,100,CA,1644555024.5471294,84,51.2585,-80.6094,-9.4,-11.22,0.0
110,553766,Kamenka,95,RU,1644555024.8161902,93,51.3223,42.7678,26.74,26.74,7.47
111,1717787,Catuday,68,PH,1644555025.0852506,56,16.2923,119.8062,82.47,82.47,2.59
112,6149996,Smithers,0,CA,1644555025.140263,60,54.7804,-127.1743,34.12,34.12,6.91
113,2889709,Kleinblittersdorf,40,DE,1644555025.4073224,89,49.1578,7.0373,37.27,33.1,9.22
114,103630,Najrān,3,SA,1644555025.6763833,26,17.4924,44.1277,52.45,52.45,1.54
